name,address,state
"Louisville, KY (Norton Healthcare Sports & Learning Center)",3029 W Muhammad Ali Blvd Louisville KY 40212,KY
"Houma, LA (Barry P. Bonvillain Civic Center)",346 Civic Center Blvd Houma LA 70360-6088,LA
Kingdom Hall - Lowell Massachusetts,559 Pine St Lowell MA 01851-2307,MA
"Natick, Massachusetts (AH)",85 Bacon St Natick MA 01760-2901,MA
"Crownsville, Maryland (AH)",1200 Sunrise Beach Rd Crownsville MD 21032-1420,MD
"Augusta, ME (Augusta Civic Center)",76 Community Dr Augusta ME 04330-8008,ME
"Orono, ME (University of Maine Collins Center for the Arts)",2 Flagstaff Rd Orono ME 04473,ME
"Belleville, Michigan (AH)",43777 Ecorse Rd Belleville MI 48111-1133,MI
"Holt, Michigan (AH)",1331 Eifert Rd Holt MI 48842,MI
"Rochester, MN (Mayo Civic Center - Auditorium)",30 Civic Center Dr SE Rochester MN 55904-3812,MN
"Saint Cloud, MN (Rivers Edge Convention Center)",10 4th Ave S Saint Cloud MN 56301-3614,MN
"Saint Louis, Missouri (AH)",953 Laredo Ave Saint Louis MO 63138,MO
"Springfield, MO (Expo Center)",635 E Saint Louis St Springfield MO 65806-2413,MO
"Pearl, MS (Clyde Muse Center at Hinds Community College)",515 Country Place Pkwy Pearl MS 39208,MS
"Billings, MT (Billings Inn and Convention Center)",1223 Mullowney Ln Billings MT 59101-6301,MT
"Kingdom Hall - Greensboro, NC",4004 Perth Pl Greensboro NC 27405-9667,NC
"Salisbury, North Carolina (AH)",3401 Old Concord Rd Salisbury NC 28146-7397,NC
"York, NE (Holthus Convention Center)",3130 S Holen Ave York NE 68467-4809,NE
"Jersey City, New Jersey (AH)",2932 John F Kennedy Blvd Jersey City NJ 07306-3805,NJ
"Turnersville, New Jersey (AH)",300 Sovereign Way Blackwood NJ 08012-3244,NJ
"Albuquerque, NM (Kiva Convention Center)",401 2nd St NW Albuquerque NM 87102-2203,NM
"Farmington, NM (Civic Center)",200 W Arrington St Farmington NM 87401-6239,NM
"Kingdom Hall - Farmington, NM",5661 College Blvd Farmington NM 87402-4775,NM
"Ruidoso, NM (Convention Center)",111 Sierra Blanca Dr Ruidoso NM 88345-5503,NM
"Reno, NV (Grand Sierra Resort)",2500 East 2nd St Reno NV 89525,NV
"Brooklyn, New York (AH)",973 Flatbush Ave Brooklyn NY 11226-5006,NY
"Henrietta, New York (AH)",272 Farrell Rd Ext West Henrietta NY 14586,NY
"Long Island, New York (AH)",60 Froehlich Farm Blvd Woodbury NY 11797-2904,NY
"Newburgh, New York (AH)",23 Unity Pl Newburgh NY 12550-6715,NY
"London, Ohio (AH)",4230 Lafayette Plain City Rd London OH 43140-8837,OH
"Willoughby, Ohio (AH)",38025 Vine St Willoughby OH 44094-6226,OH
"Enid, OK (Stride Bank Center)",301 S Independence St Enid OK 73701-5626,OK
"Muskogee, OK (Civic Center)",425 Boston St Muskogee OK 74401-7516,OK
"Yukon, OK (Yukon Fine Arts Center)",850 Yukon Ave Yukon OK 73099-3880,OK
"Grants Pass, OR (North Valley High School)",6741 Monument Dr Grants Pass OR 97526-8536,OR
"Woodburn, Oregon (AH)",1510 N Pacific Hwy Woodburn OR 97071-3622,OR
"Buckingham, Pennsylvania (AH)",4414 New Hope Rd Furlong PA 18925-1306,PA
"Coraopolis, Pennsylvania (AH)",1630 Spring Run Rd Ext Coraopolis PA 15108-9675,PA
"Grantville, Pennsylvania (AH)",9708 Allentown Blvd Grantville PA 17028,PA
"Orangeburg, South Carolina (AH)",184 Assembly Hall Way Orangeburg SC 29115-8241,SC
"Brookings, SD (Swiftel Center)",824 32nd Ave Brookings SD 57006-4715,SD
"Memphis, Tennessee (AH)",400 N Cleveland St Memphis TN 38104,TN
"Amarillo, TX (Amarillo Civic Center Complex)",401 S Buchanan St Amarillo TX 79101-1606,TX
"Carthage, TX (Carthage Civic Center)",1702 S Adams St Carthage TX 75633-3230,TX
"Denton, Texas (AH)",14542 US-380 Krum TX 76249-7623,TX
"La Feria, Texas (AH)",1701 Parker Rd La Feria TX 78559-4725,TX
"Lubbock, TX (Lubbock Memorial Civic Center - Exhibit Hall)",1501 Mac Davis Ln Lubbock TX 79401-2602,TX
"Rosenberg, Texas (AH)",400 W Fairgrounds Rd Rosenberg TX 77471-8676,TX
"San Antonio, Texas (AH)",9750 Eagle Crest Blvd Windcrest TX 78239-3806,TX
"Ogden, UT (Weber State University - Dee Events Center)",4450 Harrison Blvd Ogden UT 84408-0001,UT
"Orem, UT (Utah Valley University- UCCU Center)",800 W University Pkwy Orem UT 84058-6703,UT
"Richmond, Virginia (AH)",5607 Midlothian Tpke Richmond VA 23225-6113,VA
"Puyallup, Washington (AH)",11515 62nd Ave E Puyallup WA 98373-4341,WA
"Janesville, Wisconsin (AH)",207 S Wright Rd Janesville WI 53546-9748,WI
"Summersville, WV (The Summersville Arena - C.V.B.)",3 Armory Way Summersville WV 26651-2030,WV
"Cheyenne, WY (Civic Center Theater)",510 W 20th St Cheyenne WY 82001,WY
